02:31:14.064 [main] INFO  Philosopher - --------nikita----------
02:31:14.066 [main] INFO  Philosopher - nikita ate 14 times
02:31:14.067 [main] INFO  Philosopher - nikita ate 2077 ms
02:31:14.067 [main] INFO  Philosopher - --------aristotel----------
02:31:14.067 [main] INFO  Philosopher - aristotel ate 14 times
02:31:14.067 [main] INFO  Philosopher - aristotel ate 2839 ms
02:31:14.067 [main] INFO  Philosopher - --------platon----------
02:31:14.067 [main] INFO  Philosopher - platon ate 13 times
02:31:14.067 [main] INFO  Philosopher - platon ate 3041 ms
02:31:14.067 [main] INFO  Philosopher - --------shopenhauer----------
02:31:14.067 [main] INFO  Philosopher - shopenhauer ate 14 times
02:31:14.067 [main] INFO  Philosopher - shopenhauer ate 1769 ms
02:31:14.067 [main] INFO  Philosopher - --------nitsche----------
02:31:14.067 [main] INFO  Philosopher - nitsche ate 14 times
02:31:14.069 [main] INFO  Philosopher - nitsche ate 2199 ms
02:31:14.069 [main] INFO  Main - All philosophies spend 11925 ms on the dinner today
